synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|maid|maido|s.|майдо|молоко|maito|posl'ivočnoi maido (RKS)||снятое молоко|kuorittu maito|||||||||||
|maid||s.||||hauduttu maid (RKS)||топлёное молоко|haudutettu maito|||||||||||
|maid||s.||||muiged maid (RKS)||кислое молоко|hapannut maito|||||||||||
hapanmaid|muiged|muige/d ~ -i, -dan, -dad; -d'id|a.||||muiged maid (RKS)||кислое молоко|hapannut maito|||||||||||
haudutettu|hauduttu|hauduttu (RKS)|a.||топлёный (молоко)|haudutettu, haudottu|hauduttu maid (RKS)||топлёное молоко|haudutettu maito|||||||||||
kuorittu|poslivočnoi|posl'ivočnoi (RKS)|a.||снятое (молоко)|kuorittu (maito)|posl'ivočnoi maido (RKS)||снятое молоко|kuorittu maito|||||||||||
|maim|maim/e, -an, -ad; -uoid|s.||||||||||||||||||
maim|maimkala|maime/kala (RKS)|s. yhd.|маймэ-кала|малёк, сом (RKS)|kalanpoika, maima|||||||||||||||
|maksada|maks/ai, -an, -uoin|v.||платить, выплачивать; стоить|maksaa|maksan (RKS)|максан|плачу (долг); стою|maksan|||||||||||
|maksada||v.||||penz'ijad ei maksettu ||пенсию не платили|eläkettä ei maksettu|||||||||||
|maksand|maksand/e, -an, -ad|s.|максандэ|уплата|maksu|||||||||||||||
kruassida, mujuttada|mal'arida|mal'ar'i/da, -n, -in|v.||малярить, малярничать|maalailla|mal'arin (RKS)|малярин|малярю|maalailen|||||||||||
|mandžoi|man'd'ž/uoi, -uoin, -uoid; -oluoid; (Pv) man'd'ž/uo, -uon, -uod; -oloid; (TP, SP) man'd'žoi, -n|s.|манджуой|земляника|mansikka|||||||||||||||
|mark|marke|s.|маркэ|марка|merkki; markka|||||||||||||||
|mašink|mašinke (RKS)|s.|машинкэ|машина|kone|||||||||||||||
|mask|maske (RKS)|s.|маскэ|маска|naamio|||||||||||||||
|matkata|(TP) matkata|v.||||||||||||||||||
kangaz|materij|materij (RKS)|s.|материй|материя, материал; гной (RKS)|kangas, aines|||||||||||||||
|mecc|me/čče, -čän, -ččäd; -ččid; (V) me/čče, -čan, -ččad; -ččid|s.|мэччэ|лес|metsä; tukkipuut; hiisi, paholainen (kirosana)|||||||||||||||
meccahine|meccalaine|meččälä/ine, -ižen, -šte; -ižid (RKS)|s.|мэччалайнэ|лесовик|metsäläinen|||||||||||||||
|mecckana|mečč- ~ (Lm) meččä- ~ (V) meče/kana|s. yhd.|мэччъ-кана|куропатка|metsäkana|||||||||||||||
|mecoi|me/čuoi ~ (V) -ččuoi, -čuoin, -čuoid; -ččoluoid; (SP) mečoi, -n|s.|мэчуой|глухарь|metso|||||||||||||||
|midal'|medali (RKS)|s.|медали|медаль; бляха|mitali|||||||||||||||
perata|melata|mela/ta, -dan, -žin; -dau, -ži|v.||грести (кормовым веслом), рулить, править (кормовым веслом), управлять (лодкой)|meloa, ohjata (venettä)|meladan (RKS)|меладан|правлю, управляю (лодкой)|ohjaan|||||||||||
d'auhoda|mellida|mel'i/dä, -n, -in|v.||молоть|jauhaa (kahvia, Td)|mel'in (RKS)|мелин|мелю|jauhan|||||||||||
|mellič|mel'l'i/čče ~ mel'n'i/čče (RKS), -čän, -ččäd|s.|мельниччэ|мельница|mylly|||||||||||||||
|mel'onk|mel'onke (RKS)|s.|мелёнкэ|меленка|kahvimylly|||||||||||||||
|merež|mereži (RKS)|s.|мережи|мережа|rysä|||||||||||||||
|meri|me/r'i, -ren, -rde; -r'id|s.|мэри|море|meri|||||||||||||||
|metl|metle (RKS)|s.|метлэ|метла|luuta|||||||||||||||
|mezi|(Lm) me/zi, -den, -tte|s.||||||||||||||||||
|mezijaine|mehä/ine, -ižen, -šte; -ižid|s.|мэгяйнэ|пчела|mehiläinen|||||||||||||||
|mieh|miehhe (RKS)|s.|миэхэ|мех||||||||||||||||
miehel|miehele|miehel’e|adv.||замуж|naimisiin (naisesta)|män'im miehele||я вышла замуж|menin naimisiin|||||||||||
|miehele||adv.||||mändih miehele ven'akoloile||вышли замуж за русских|menivät naimisiin venäläisten kanssa|||||||||||
|miehoil|(TP) miehoil, -ah|s.||дом мужа|miehelä, miehen koti|||||||||||||||
|miel|miel (RKS)|s.|миэлъ|мел|liitu|||||||||||||||
|miel'|mie/l'i, -len, -lte; -l'id|s.|миэли|ум; настроение|mieli|anda hüväd mielte da hüväd elaigad!||дай хорошего настроения и хорошей жизни! (тост)|anna hyvää mieltä ja hyvää elämää! (toivomus)|||||||||||
|mielduda|mieldü/dä, -n, -in; -u, -i|v.||||mieldün (RKS)|миэлдун|влюбляюсь|rakastun|||||||||||
|mieletoi|mieletüöi ~ (V) mieletuoi|a. kar.|миэлетюёй|глупый|mieletön|||||||||||||||
mark, pilkeh, tiäht’, tunduz|mietk|mietke (RKS)|s.|миэткэ|метка|merkki|||||||||||||||
|mikš|mikse ~ miks (RKS)|adv.|миксэ ~ миксъ|почему, зачем, отчего|miksi, mitä varten, minkä tähden, minkä takia|miks voruičetos? (RKS)|миксъ воруйчетос?|что балуетесь (шалите)?|mitä telmitte?|||||||||||
|mikš||adv.||||mikse on azuttu, sikse||зачем (он) сделан, затем|mitä varten on tehty, sitä varten|||||||||||
|mina|minä (WPE 20, RKS, LMS 239, OFM) ~ mina (OFM), minun, minud, minul ~ minullain' (WPE 20), minule ~ minullein' (WPE 20); (Lm) minä (LMS 239) ~ mina (OFM); (Ka, Pv, V) min/a, -un, -ud, -nul ~ (AV) millai|pron. yks.|миня|я|minä|(Ph) mina pagižen l’üud’ikse (OFM)||я говорю по-людиковски|mina puhun lyydiä|||||||||||
|mina||pron. yks.||||mina pezemökse (OK)||я моюсь|minä peseydyn|||||||||||
|mina||pron. yks.||||(Ka) mina pagižen l’üud’iks (OFM)||я говорю по-людиковски|mina puhun lyydiä|||||||||||
|mina||pron. yks.||||(Ka) mina sanun||я скажу|minä sanon|||||||||||
|mina||pron. yks.||||minun (RKS)|минун|мой|minun|||||||||||
|mina||pron. yks.||||minun vel'l'ed (RKS)||мои братья|minun veljeni|||||||||||
|mina||pron. yks.||||minun vel'l'eksile (RKS)||моим братьям (братцам)|minun veljeksilleni|||||||||||
|mina||pron. yks.||||minun sizarele (RKS)||моей сетре|minun sisarelleni|||||||||||
|mina||pron. yks.||||(Lm) minud haikostuttau (LMS 59)||мне хочется зевать|minua haukotuttaa|||||||||||
|mina||pron. yks.||||s'ina pezetökse d'älgez minud ||ты будешь мыться после меня|sinä peseydyt minun jälkeeni|||||||||||
|mina||pron. yks.||||peze, puhtasta minud! loits.||умой, очисти меня!|pese, puhdasta minut!|||||||||||
|mina||pron. yks.||||(TP) muštelkat minud!||вспоминайте меня!|muistelkaa minua!|||||||||||
|mina||pron. yks.||||(Ka) minul on kaks' poigad||у меня два сына|minulla on kaksi poikaa |||||||||||
|mina||pron. yks.||||d'umalaine kuldaine, abuta minule! (TTV) loits.||Боженька золотой, помоги мне!|Jumalani kultainen, auta minua!|||||||||||
|mindal'|mindal'i (RKS)|s.|миндали|миндаль|manteli|||||||||||||||
|minut|minu(u)/tte, -tan, -ttad|s.||минута, миг|minuutti, hetki|ei voi eläi minuuttad loits.||не может прожить минуты|ei voi elää hetkeä|||||||||||
|minutas|minu(u)tas|adv.|минутас|вмиг|silmänräpäyksessä|||||||||||||||
kus|miš|(Lm, V) mis|adv.||где|missä|||||||||||||||
|misk|misk/e, -an, -äd|s.|мискэ|миска|kulho|||||||||||||||
|miär|miär ~ miär/e (RKS), -än, -äd|s.|миярэ ~ мияръ|мера; мерка (мерку снимать)|määrä, mitta|||||||||||||||
|miäräta|miärä/tä, -dän, -žin|v.||мерять|määrätä, arvostella, mitata|miärändän (RKS)|миярядан|меряю|mittaan|||||||||||
muodikaz|modnoi|modnuoi (RKS)|a.|моднуой|модный|muodikas|||||||||||||||
mugoine, ninkoine|moine I|mo/ine, -ižen; -ižid; (V) moi/ne, -žen, -sta |pron.||такой|sellainen, moinen|moižed d'ielod||такие дела|sellaiset asiat|||||||||||
|moleben|moleben|s.|молебен|молебен|rukoushetki|||||||||||||||
|mujada|muj/ada, -an, -in|v.||попробовать|maistaa, koetella makua|mujin (LMS 146)||я попробовал|maistoin|||||||||||
molgetid|molembad|molemb/ad, -iden, -id|pron. mon.||оба|molemmat, kumpikin|||||||||||||||
molembad|molgetid|mollet'id (LMS 242) ~ mollot'id (OFM); (SP) molle/t'id, p. -t't'iloi (LMS 242)|pron. mon.||оба|molemmat, kumpikin|||||||||||||||
molembin|molgei|(TP, SP) mollei|adv.||обоими, оба|molemmin, kumpikin, molemmat|||||||||||||||
|molida|mol'i/da, -n, -in|v.||молить|rukoilla|mol'in (RKS)|молин|молю|rukoilen|||||||||||
|moloč|molo/čče, -čan, -ččad|s.|молодчэ|молодец|kelpo mies, aika poika|||||||||||||||
|moru|moru, -n, -d|s.|мору|мор|rutto|||||||||||||||
|mua|mua, -n, -de ~ -d; -loid; (V) mua ~ (AV) muo, -n, -d; -id; (Pv) mua, -n, -d; -loid|s.|муа|земля|maa|äi muad, peldod ||много земли, полей|paljon maata, peltoja|||||||||||
|mua||s.||||ei ole muad||нет земли|ei ole maata|||||||||||
|mua||s.||||ištuttai muah kappu||посадить в землю картошку|istuttaa peruna maahan|||||||||||
|mua||s.||||d'ogo s'inä pan'id kapud muah?||ты уже посадил картошку в землю?|joko olet istuttanut parunoita maahan?|||||||||||
|mua||s.||||kui tämä d'üvä puuttuu muah (TTV) loits.||как это зерно попадает в землю|kuin tämä jyvä joutuu maahan|||||||||||
|mua||s.||||(Lm) d'ürütautte moah kirbon'i taivahas (LMS 41)||божья стрела упала в землю с неба|ukonvaaja putosi maahan taivaasta|||||||||||
muam|emä|em/ä, -än, -äd; -id|s.||мать|äiti, emo|||||||||||||||
|emäkaži|(Lm) emä/kaži|s. yhd.||||||||||||||||||
emäsiga|emäpočč|emä/bočči ~ (Lm) -počči|s. yhd.||свиноматка, свинья|emäsika, naarassika|||||||||||||||
emä, mami, mamoi|muam|muamo, -n, -d; (TP) muam/o, -an, -ad|s.|муамо|мать, мама|äiti|hänem muamo rod'iihez ||его мама родилась|hänen äitinsä syntyi|||||||||||
|muam||s.||||muamon tuatto ||отец матери|äidin isä|||||||||||
mamoi, muam|mami|(Ka) mami |s.||мама, мамочка|äiti, mami|||||||||||||||
|muanittada|muan'i/ttada, -tan, -t'in|v.|pettää|обдуть|pettää, valehdella, houkutella, puijata|muan'itin (RKS)|маниттин|я обдул|petin|||||||||||
|muard'|muard'/e ~ (Lm) moard'/e, -an, -ad; -uoid|s.||ягода|marja|muard'ad ~ muar'd'at (RKS)|муарьдят|ягоды|marjat|||||||||||
muard'|muard'ad|muard'/ad  ~ muar'd'/at (RKS), -uoid|s. mon.|муарьдят|ягоды|marjat|vuiškal muard'ad pidettih||на чердаке ягоды держали|ullakaossa pidettiin marjoja|||||||||||
|muattada|mua/ttada, -tan|v.||зарывать|mullata, pettää mullalla|muatan (RKS)|муатан|зарываю|peitin mullalla|||||||||||
|muatušk|muatušk/a ~ maatušk/a ~ (TP, V) muatušk/e  ~ (V) muatušk, -an, -ad|s.|муатушка|свекровь; матушка|anoppi, miehen äiti; papinrouvan puhuttelunimi|obrazad muatuškal old'ihe||иконы у свекрови были|ikonit olivat anopilla|||||||||||
|buat'ušk|buatušk/e ~ -a  ~ (TP) baat'uška|s.||||||||||||||||||
akk, naine|mučoi|mu/čuoi, -čuoin, -čuoid; -ččoluoid|s.|мучуой|молодуха|nuorikko|||||||||||||||
|muda|muda, -n, -d|s.|муда|тина; соринка (в глазу)|muta; rikka|||||||||||||||
|muga|muga|adv.|муга|так; даром|muuten; ilmaiseksi|||||||||||||||
|mugoine|mug/oine ~mug/uoine, -oman, -šte; -omid ~ (V) -oižid|pron.|мугойнэ|такой|sellainen|aigoites mugoine (RKS)|айгойтэс мугойнэ|такое время|sellainen aika|||||||||||
|muigota|muigo/ta, -nou, -n'i|v.||скиснуть, свернуться|hapata|muigon'i (RKS)|муйгони|скисло, свернулось (молоко)|happani|||||||||||
|muil|muil/e, -an, -ad|s.|муйлэ|мыло|saippua|||||||||||||||
|muod|muode (RKS)|s.|муодэ|мода|muoti|||||||||||||||
|muok|muo/kke, -kan, -kkad|s.|муоккэ|мука|tuska, vaiva, kidutus|||||||||||||||
|mureta I|mure/ta, -ndan, -n'd’in ~ (Pv, V) -nz'in|v.||||murendan (RKS)|мурендан|ломаю|särjen|||||||||||
|muruine|muru/ine, -ižen, -šte; -ižid|s. dem.|муруйнэ|крошка|murunen|||||||||||||||
|mušk|mušk/e, -an, -ad (RKS)|s.|мушкэ|мушка|kärpänen (pieni) |||||||||||||||
|must|must/e, -an, -ad; -id|a.|мустэ|чёрный|musta|muste sestruoi (RKS)||чёрная смородина|mustaherukka|||||||||||
|must||a.||||ruskedad i mustad sesruoid (LMS 383)||красные и чёрные смородины|puna- ja mustaherukat|||||||||||
|muštada|muš/tai, -tan, -čin|v.||помнить|muistaa|muštan (RKS)|муштан|помню, вспоминаю|muistan|||||||||||
muštoittada, muštoitelta|muštelta|mušte/lta, -len, -l'in|v. frekv.||вспоминать|muistella|(TP) muštelkat minud!||вспоминайте меня!|muistelkaa minua!|||||||||||
|mus'toi|mus't'/uoi, -uoin, -uoid; -oluoid; (TP, V) must'oi|s.|мустюой|черника|mustikka|||||||||||||||
|mutnoi|mutnuoi (RKS)|a.|мутнуой|мутный|samea|||||||||||||||
|muukkada||v.||||muukan (RKS)|муккан|мычу|ammun|||||||||||
|muuroi|muur/uoi, -uoin, -uoid; -oluoid; (TP, SP, V) muuroi|s.|мууруой|морошка|suomuurain, lakka|||||||||||||||
|muuzik|muzi/kke, -kan, -kkad; -kuoid|s.|музыкэ|музыка|musiikki|||||||||||||||
|mužik|muži/kke, -kan, -kkad; -kuoid|s.|мужиккэ|мужик, мужчина|mies; talonpoika|t'ieduoin'ikke ol'i vahne mužikke||знахарь был старый мужчина|tietäjä oli vanha mies|||||||||||
|müödä|müö/dä, -n, -id; -u, -i|v.||||müön (RKS)|мюён|продаю|myyn|||||||||||
|müönd|müönd/e, -än, -äd|s.|мюёндэ|продажа|myynti|||||||||||||||
|müöti|(Pn) müöti ~ (TP, SP) müöt'i ~ (Lm, V) müö  ~ (V) müöi|postp.||по, вдоль|myöten, pitkin|(Pn) müö tulimme sidä dorogad müöti (OLR 46)||мы пришли по той дороге|me tulimme sitä tietä pitkin|||||||||||
 lädžöttada, mädžöttada, väčürta|mäčkäida|mäčkäi/dä, -n, -n|v.||мячкать, мять; плохо работать|rutistaa, murjoa; tehdä huonosti|mäčkäin (RKS)|мячкайн|мячкаю, мну|vaivaan|||||||||||
|mädähn|mähänd/e, -än, -äd; (V) mädähnö (LMS 253)|s.|мягяндэ|икра|mäti|mähändän piästäu||икру пускает|laskee mätiä|||||||||||
|mädähnuz|mähändü/s, -ksen (LMS 253 )|s.||икра (ноги)|pohje|mähändüksed||икры|pohkeet|||||||||||
|mägi|mäg/i, -en, -ed; -id|s.|мяги|гора|mäki|||||||||||||||
mägenocc, mägüčaine, mägüd, mätäz; mägi| mägüč|mägü/čče, -čän, -ččäd|s.||пригорок, горка|mäki (pieni), kunnas, kumpu|mägüčäle nouzed||на пригорок поднимешься|kummulle nouset|||||||||||
|mägr|mägr/e, -än, -äd|s.|мягрэ|барсук; ёж (RKS)|mäyrä|||||||||||||||
itkeda, ravišta, ringuda, rängüda, röngüda, vonguda|mälišta|mäl'i/šta, -žen, -žin|v.||реветь, орать, голосить, плакать|mölistä, itkeä ääneen|mäl'ižen (RKS)|мялижен|реву, плачу|itken ääneen|||||||||||
|mämlida|mäml'i/dä, -n, -in|v.||мямлить|mumista|m'aml'in (RKS)|мямлин|мямлю|mumisen|||||||||||
kuut'|hongoi|(TP) hongoi, -n|s.||лодка-долблёнка|haapio, kuutti, yhdestä puusta tehty vene|||||||||||||||
pedajaine, mändüine|hongaine|honga/ine, -ižen, -šte; -ižid|a.||сосновый, кондовый|honkainen|(Lm) hongaine puu (LMS 75)||кондовое дерево, кондовая сосна|petäjä, jossa pehmeätä pintaa vähän, paljon kovaa, tervaista, kuivaa, keveää puuta|||||||||||
mänd, pedaj|hong |hong/e, -an, -ad; -id|s.||сосна (высокая, сухая), конда|honka, petäjä (vahva, vanhanaikainen)|||||||||||||||
hong, pedaj|mänd|(Lm) mändö (LMS 254)|s.||сосна|mänty, petäjä (LyP)|||||||||||||||
pedaj|mändpuu|mände/puu|s. yhd.||сосна (крепкая, смолистая)|petäjä (pintaa paljon)|||||||||||||||
|mänendsija|(TP) mänende/sija|s. yhd.||место для входа (выхода)|sisäänkäyntiaukko|||||||||||||||
astuda, lähtä, tulda|mändä|mä/ndä, -nen, -n'in; -nöu; -ndäh, -nd'ih ~ -nd'ihe |v.||идти, выходить, выйти|mennä|(Pn) kunna mändä sulhaižikse? (SKVR) kansanr.||куда пойти пойти свататься?|mihin mennä kosimaan?|||||||||||
|mändä||v.||||(Ka) pidau mända||нужно идти|pitää mennä|||||||||||
|mändä||v.||||mänen (RKS)|мянэн|вхожу|menen sisään|||||||||||
|mändä||v.||||toižele fat'ierale mänen (RKS)|тойжэлэ фатиералэ мянэн|перебираюсь на другую квартиру|muutan toiseen asuntoon|||||||||||
|mändä||v.||||t'ie mänöu (OFM)||дорога идёт|tie kulkee|||||||||||
|mändä||v.||||män'im miehele||я вышла замуж|menin naimisiin|||||||||||
|mändä||v.||||(Pn) kouz lähtimme pogostal da n'umaloih mänimme  (OLR 46)||когда мы отравлялись из погоста и шли на богомолье|kun lähdimme kirkonkylästä ja menimme rukoilemaan|||||||||||
|mändä||v.||||puikko män'i (RKS)|пуйко мяни|заноза (спичка) попала|sain tikun (ihooni)|||||||||||
|mändä||v.||||st'okle män'i (RKS)|стёклэ мяни|стекло попало (заноза)|lasipala tuli (käteen)|||||||||||
|mändä||v.||||(Tsar) d'iedo keskihe män'i||дед встал между (ними)|vaari meni väliin|||||||||||
|mändä||v.||||mändih miehele ven'akoloile||вышли замуж за русских|menivät naimisiin venäläisten kanssa|||||||||||
|mändä||v.||||mänd'ihe sinne Suomehe (TTV)||уехали туда в Финляндию|lähtivät sinne Suomeen|||||||||||
|mändä||v.||||(Bar) mäne sulhuoiks (NFL) kansanr.||иди свататься|mene kosimaan|||||||||||
