synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
kandelmuz, takk|s.|kandamuz|kanmu/z, -sen, -st; -s'iin, -s'iid (KTK)|ноша|kantamus|||||||||
kandamuz, kandelmuz, takk|s.|takk I|takk, takan, takkad|ноша|taakka, kantamus|||||||||
|s.|kandand|kandand, -an, -ad|отёл|kanto; poikiminen|||||||||
|s.|kandidat|kand’idat, -an, -ad|кандидат|ehdokas, kandidaatti|||||||||
katkelmuz, loma|s. mon.|kanikulad|kan’ikul/ad, -uun, -uud|каникулы|loma, koululoma|||||||||
|v. refl.|kantakse|kan/takse, -daze, -duuhe(ze)|тащиться|kantautua|||||||||
|s.|kapital|kapital, -an, -ad|капитал|pääoma|||||||||
|s.|kaptan|kapitan, -an, -ad|капитан|kapteeni|||||||||
|s.|kapl’|kapl’, -an, -ad|капля|pisara|||||||||
|s.|kapot|kapot, -an, -ad|капот|kapotti|||||||||
|s.|kapriz|kapr’iz, -an, -ad|каприз|oikku|||||||||
|s.|kapust|kapust, -an, -ad; ; -iin, -iid|капуста|kaali|buap paštuu piirguut kapustas (KTK)бабушка пекла пироги из капусты||mummo paistoi kaalipiirakoita||||||
kera|s. yhd.|kapustkera|kapust/kera|||||||||||
|s.|karakul’|karakul’|каракуль|karakuli|||||||||
|s.|karamel’|karamel’|карамель|karamelli|||||||||
|s.|karandiš|karandiš, -an, -ad|карандаш|lyijykynä|||||||||
|s.|karantin|karant’in, -an, -ad|карантин|karanteeni|||||||||
|s.|karassin|karas’in, -an, -ad; -uun, -uud|керосин|petroli|||||||||
|s.|kärbäine|kärbä/än’e, -äžen, -št; -äžiin, -äžiid|муха|kärpänen|||||||||
|s.|karbürator|karb’urator, -an, -ad|карбюратор|karboraattori, kaasutin|||||||||
|s.|karekatur|kar'ekatur, -an, -ad|карикатура|karikatyyri|||||||||
|a.|karhak|karhak|шероховатый|karhea|||||||||
|s.|karjer|karjer, -an, -ad|карьер|louhos|||||||||
|s.|karnaval|karnaval, -an, -ad|карнавал|karnevaali|||||||||
|s.|kart I|kart, -an, -ad; -uun, -uud|карта|kartta|||||||||
|s.|kart II|kart, -an, -ad; -uun, -uud|корыто, колода (бревно)|kaukalo|||||||||
|s. mon.|kartad II|kartad|пряжа|villakartat, leve, hahtuva|||||||||
kartid|s. mon.|kartad I|kart/ad, -iin, -iid|карты (игра)|pelikortit|lasta kartiihe (IL)|гадать на картах|povata korteista||||||
|s.|kartin|kart’in, -an, -ad|картина|taulu|||||||||
|s.|karting|kart’ing, -an, -ad|картинг|mikroauttokisa|||||||||
kart I, kart' I|s.|kartočk|kartočk, -an, -ad|карточка|kortti|||||||||
|s. yhd.|kartofkd'auh|kartofk/d'auh|картофельная мука, крахмал|perunajauhe|||||||||
|s.|kartton|karton, -an, -ad|картон|pahvi|||||||||
|s.|kartotek|kartot’ek, -an, -ad|картотека|kortisto|||||||||
|s.|karusel’|karus’el’|карусель|karuselli|||||||||
|s.|karvanlükind|(Pal) karvan/l’ikkind|линька|karvanlähtö|||||||||
|s. dem.|kasaine|kasa/an’e, -ažen, -št; -ažiin, -ažiid|косичка|palmikko (pieni)|||||||||
|v.|kasarta|kasar/ta, -dan, -z'iin|косарить, рубить косарём|kassaroita, katkoa vesurilla (vesoja)|ezmaa kasartaze kasriil (OF)|сперва рубят косарём (побеги)|ensin katkotaan vesurilla (vesoja)||||||
|s.|kaset|kas’et, -an, -ad|касета|kasetti|||||||||
|s.|kask I|kask, -an, -ad|каска|kypärä, kaski|||||||||
|s.|kašne|kašne, -n, -d|кашне|kaulahuivi|||||||||
|s.|kašp|kašpo, -n, -d|кашпо|koristemaljakko|||||||||
|s.|kass II|kass, -an, -ad|касса|kassa|||||||||
|s.|kass I|ka/ss, -san, -ssad; -suun, -suud|коса (волосы), косичка|palmikko, hiuspalmikko|||||||||
|s.|kassir|kas’s’ir, -an, -ad|кассир|kasööri, kassanhoitaja|||||||||
|s.|kaste|kaste, kas(t)ken, kastet|роса|kaste|kasken aiga n'iitta hüvä (LMS 113)|во время росы косить хорошо|kasteen aikana on hyvä niittää||||||
|v. frekv.|kastelta|kast/el’ta, -l’ob, -el’ ~ -l’ii; ; -el’taze, -el’t’ihe|орошать|kastella|||||||||
|s.|katalog|katalog, -an, -ad|каталог|katalogi|||||||||
|s.|katamaran|katamaran, -an, -ad|катамаран|katamaraani, kaksirunkoinen alus|||||||||
|s.|katar|katar, -an, -ad|катар|katarri|||||||||
|s.|katastrof|katastrof, -an, -ad|катастрофа|katastrofi|||||||||
|s.|kategorij|kat’egor’ij, -an, -ad|категория|kategoria|||||||||
|s.|kater|kat’er, -an, -ad|катер|moottorivene|||||||||
|s.|katkelmuz|katkelmu/z, -sen, -st; -s’iin, -s’iid|излом, трещина|katkeama|||||||||
|v.|katkoda|katku/uda, -ub, -u; -utaze, -ut'ihe|обламывать, обломать; нарвать|katkoa|katkuuda cvetuud (KTK)|нарвать цветов|kerätä kukkia||||||
|s.|katlet|katl’et, -an, -ad|котлета|kotletti|||||||||
|s.|kattedž|kattedž, -an, -ad|коттедж|asumus|||||||||
|s. dem.|kattilaine|katl’a/an’e, -ažen, -št; -ažiin, -ažiid|котелок|kattila (pieni), pakki|||||||||
kehä, kehäine, kela|s.|katušk|katušk, -an, -ad|катушка|kela|||||||||
|s.|kaučuk|kaučuk, -an, -ad|каучук|kautsu|||||||||
|s.|kavalerij|kaval’er’ij, , -an, -ad|кавалерия|ratsuväki|||||||||
|s.|kävelend|kävel’end, -an, -ad|прогулка|kävely, lenkki|||||||||
|a.|kävelij|kävelij, -an, -ad|ходячий|kävelevä|||||||||
|s.|käveluz|kävel’u/z, -sen, -st; -s’iin, -s’iid|ходьба|kävely|||||||||
|s. yhd.|käveluzdorogaine|kävel’uz/dorogaan’e|дорожка|kävelypolku|||||||||
|s. yhd.|kavičkad|kavičk/ad, -uun, -uud|кавычки|lainausmerkit|||||||||
|s.|kävünd|kävünd ~ (Pal) kävind, -an, -ad|хождение, посещение; побывка|käynti|||||||||
|s.|kazačih||казачка|kasakkanainen|||||||||
|s.|kazačih|kazačih, -an, -ad; -uun, -uud|наёмная работница, батрачка|palkkalainen, batrakki, piika|||||||||
Kazanskoinpäiv|s.|Kazanskoi|kazanskuu, -n, -d ~ kazanskuo, -n, -d ~ kazanski ~ kazanskii ~ kazanskij|Казанская, день Казанской иконы Божьей Матери  (8.7./21.7.)|Kasanin Jumalansynnyttäjän ikonin juhla (8.7./21.7.) |Kazanskij pruazn'ik|Казанский праздник|Kasanin ikonin juhla||||||
Kazanskoi|s. yhd.|Kazanskoinpäiv|kazanskuum/päiv|День Казанской, Праздник Казанской иконы Божьей Матери  (8.7./21.7.)|Kasanin Jumalansynnyttäjän ikonin juhla (8.7./21.7.) |||||||||
Tiffinanpäiv|s.|Tifinskoi|t'ifinskuu, -n, -d ~ t'iffinskuu, -n, -d ~ t'ifinskuo, -n, -d ~ t'if(f)inski ~ t'if(f)inskij ~ t'ihvinski ~ t'ihvinskij|Тихвинская, день Тихвинской иконы Божьей Матери (26.6./9.7. )|Tihvinan Jumalansynnyttäjän ikonin juhla (26.6./9.7. )|||||||||
Tifinskoi|s. yhd.|Tiffinanpäiv|t'ihvinam/päiv|Тихвинский день, Праздник Тихвинской иконы Божьей Матери (26.6./9.7. )|Tihvinan Jumalansynnyttäjän ikonin juhla (26.6./9.7. )|||||||||
lehminpruaznik|s.|Ladmerskoi|ladmerskuu, -n, -d ~ ladmerskuo, -n, -d ~ ladmerski ~ ladmerskii ~ ladmerskij|Владимирская, день Владимирской иконы Божьей Матери (23.6./6.7.)|Vladimirin Jumalansynnyttäjän ikonin juhla (23.6./6.7.)|||||||||
Ladmerskoi|s. yhd.|lehminpruaznik|l'ehmiim/pruazn'ik|коровий праздник, Владимирская (23.6./6.7.)|lehmienjuhla, Vladimirin ikonin juhla (23.6./6.7.)|||||||||
|s.|kazak|kazak, -an, -ad; -uun, -uud|наёмный работник, батрак|palkkalainen, batrakki, renki|(Js) torgovuon poig kazakan (OF) kirj.|сын торговца в батраках|kauppamiehen poika (on) renkinä||||||
|s.|kazak||казак|kasakka|||||||||
|s. yhd.|käziastij|käzest’ij (IL)|рукомойник, умывальник|pesulaite|||||||||
kaži|s. yhd.|emäkaži|ema/kaži|кошка|naaraskissa|||||||||
kaži|s. yhd.|ižakaži|iža/kaži|кот|uroskissa|||||||||
|s. yhd.|kažinpoig|kažim/poig|котёнок|kissanpoika|||||||||
kažinpoig|s. yhd. dem.|kažinpoigaine|kažim/poigaan'e|котёнок, котёночек|kissanpoikanen|||||||||
|s. yhd.|käzipaik|käz’i/paik|полотенце|pyyhe|||||||||
|s. yhd.|käzipuu|käz’i/puu|перила|käsipuu, kaide|||||||||
|s.|kazv|kazv|рост|kasvu|pien' kazv (PN)|маленький рост|pieni kasvu||||||
|s.|kazvatand|kazvatand, -an, -ad|воспитание|kasvatus|||||||||
|adv. dem.|kebdäižesti|kebd’aažest’i|полёгоньку|kevyesti|||||||||
|adv.|kebdäs(ti)|kebd’as|слегка|kevyesti|||||||||
|adv. komp.|kebdemb|kebd’emb|легче|kevyempi|||||||||
kebdeta I|v.|kebdenzoittada|kebd’enzuu/tta ~ kebd’enzuo/tta, -tab, -t’ ~ -t’ii|облегчить|keventää, helpottaa|||||||||
kebdenzoittada|v.|kebdeta I|kebd’e/ta, -ndab, -nd’ž ~ -nd’žii; -taze, -t’ihe|облегчить|keventää, helpottaa|||||||||
ken; mid|pron. mon.|ked|ked|кто, который|ketkä, jotka|eik sizared onnakko pl'ett'i vaa ked? (OF) |не сёстры ли однако плели (косы) или кто?|eivätkö sisaret palmikoi vai ketkä?||||||
|s. mon.|kedad|ked/ad, -uun, -uud|кеды|tennarit|||||||||
|s. mon.|keglid|kegl’i/d, -in, -id|кегли|keilat|||||||||
|a.|keitettu|keittu/d, -n, -d; -in, -id|варёный|keitetty|||||||||
|s.|keittaj|keitaj, -an, -ad|повар, кухарка|keittäjä|||||||||
|s.|keks|keks, -an, -ad|кекс|kakku|||||||||
|a. kar.|kengatoi|kengat/uu ~ (Pal) kengät/uu, -oman, -omad; -omiin, -omiid|босой|paljasjalkainen|||||||||
kengidakse, kengittada, panda|v.|kengida|ken/kta, -gib, -gii; -ktaze, -kt'ihe||kenkiä, panna kengät jalkaan|||||||||
kengida, panda|v. refl.|kengidakse|kenktakse, kengiže, kengiihe(ze)|обуваться, обуться|panna kengät jalkaansa|kenkte! (SV)|обуйся!|pane kengät jalkaasi!||||||
kengida, panda|v.|kengittada|kengi/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|обувать (другого)|panna kengät jalkaan|||||||||
|s.|kepk|kepk, -an, -ad|кепка|lippalakki|||||||||
|s.|keradamine|kerami/in’e, -ižen, -št; -ižiin, -ižiid|сбор|kerääminen|||||||||
keraduda, keratakse|v. refl.|keradudakse|keradu/dakse, -ze, -ihe(ze) (ND)|собираться, сходиться|kokoontua|kus aiviin hüö keraduihezebad (ND) kirj.|где всегда они сходились|missä he aina kokoontuivat||||||
|s.|keraduz|keradu/z, -sen, -st; -s’iin, -s’iid|сбор|keräys|||||||||
|s.|keramik|keramik, -an, -ad|керамика|keramiikka|||||||||
|adv.|kerdale|kerdal'e|с собой|mukaan|otta kerdal’e|брать с собой, забирать|ottaa mukaan, hakea||||||
|v.|kerduda|kerdu/da, -b, -i; -taze, -t’ihe (IL)|собираться, собраться|kokoontua|ehtal, konz uksed kodiš, kus kerdut’ihe učen’ikad hänen, ol’d’ihe saubas (ND) kirj.|вечером, когда двери в доме, где собирались ученики его, были заперты| illalla, kun ovet talossa, jossa kokoontuivat hänen opetuslapsensa, olivat lukossa||||||
|s.|keričend|ker’ičend, -an, -ad|стрижка|leikkaus|||||||||
leikata|v.|kerita|ker’i/ta, -čob, -č ~ -čii; -taze, -t’ihe|стричь, постричь, остригать, остричь|keritä, leikata|ker’ita lambhiid (PN)|стричь овец|keritä lampaita||||||
|v.|kerita||||pidab ker’ita lambaz (KTK)|нужно остричь овцу|pitää keritä lammas||||||
|v.|kerita||||keričob bošan (KTK)|пострижёт барана|keritsee lampaan||||||
|s.|kesk|kesk ~ kes'k (KTK), kesken, kesked; keskiin, keskiid |середина|keski, keskus, ydin|||||||||
keskele, keskes|adv.-postp.|keskeh|keskehe ~ keskhe|в середину, между (куда), посреди, среди|keskeen, väliin, keskuuteen, joukkoon, sekaan|azetui kesklaval’e heid'en keskehe i sanui (ND) kirj.|стал посереди их и сказал|seisoi heidän keskellään ja sanoi||||||
keskeh, keskel|adv.-postp.|keskes|keskes|в середине, между (где), посреди, среди; из середины|keskessä, välissä, keskuudessa, joukossa, seassa; keskestä, välistä, keskuudesta, joukosta, seasta|d’ielon keskes rabad i kuundel’ijad čiihotet’ihe käded, seišt’ihe i l’ämmištut’ihe kostran no (ND) kirj.|между тем рабы и служители протянули руки, стояли и грелись у костра|sillä välin orjat ja palvelijat ojensivat kädet, seisoivat ja lämmittelivät nuotion ääressä||||||
|s. yhd.|kesktaivaz|kesk/taivaz|зенит|keskitaivas|||||||||
|s. yhd.|kesklava|kesk- ~ kes'k/lava (ND)|середина стола|keskilattia|azetui kesklaval’e heid'en keskehe i sanui (ND) kirj.|стал посереди их и сказал|seisoi heidän keskellään ja sanoi||||||
|s. yhd.|kesklava||||tul’ii Iisus i azetui kes’klaval’e i sanui heil’e miir t’eil’e! (ND) kirj.|пришёл Иисус, и стал посереди, и говорит мир вам!|yhtäkkiä Jeesus seisoi heidän keskenään ja sanoi rauha teile!||||||
|s.|keskuč|keskuč, -an, -ad; -uun, -uud|промежуток, интервал|väli|||||||||
|s. yhd.|kesküö|kesk/üö|полночь|keskiyö|||||||||
|s.|keskuz|kesku/z, -sen, -st; -s’iin, -s’iid  (IL)|центр|keskus|||||||||
tirppada|v.|kestada|kesta, kestab, kest' ~ kest'ii; kestaze, kest’ihe |выдерживать, переносить, терпеть, устоять|kestää, sietää, kärsiä|ei sua kesta (LMS 403)|не возможно терпеть|ei voi kestää||||||
|a.|keväčud|keväč/ud, -uin, -uid|веснушки|pisamat|||||||||
|s.|keväz-|keväz’-|весенний; яровой|kevät-|||||||||
|s.|keza-|keza-|летний|kesä-|||||||||
nahk|s.|kezi|ke/z’i, -den, -tt (KTK)|шкура|nahka, talja|||||||||
|s.|kezradaj|kezerdaj, -an, -ad (KTK)|пряха|kehrääjä|||||||||
|v.|kezrata|kezer/ta, -dab, -d’ž ~ -d’žii; -taze, -t’ihe|прясть|kehrätä|kezerta langad (KTK)|kehrätä lankaa|прясть пряжу||||||
|s.|kiändälmuz|kiändalmu/z, -sen, -st; -s’iin, -s’iid|загиб|käännös, taite|||||||||
|v.|kiärida|kiär'da ~ kiärda, kiär'ib, kiär' ~ kiär'ii|обматывать, обмотать, бинтовать, забинтовать, завернуть, закатать|kääriä|kiärda bumagaha (IL)|завернуть в бумагу|kääriä paperiin||||||
|v. refl.|kiätäkse|kiä/takse, -ndaze, -nd’žiihe(ze)|поворачиваться, повернуться, вернуться|kääntyä, palata|||||||||
|a.|kibed|kibed, -an, -ad|больной; больно|kipeä|||||||||
|s.|kibištuz|kibištu/z, -sen, -st; -s’iin, -s’iid|боль, ломота|kivistys, kipu|||||||||
|s. yhd.|kibunottaj|kibun/otaj|обезболивающий|kipua lieventävä|||||||||
|s.|kida|kida, -n, -d|зев|kita|||||||||
|s.|kiehumine|kiehmi/in’e, -ižen, -št; -ižiin, -ižiid|кипение|kiehuminen|||||||||
|s.|kiehund|kiehund, -an, -ad|кипение|kiehuminen|||||||||
|v.|kiehuttada|kiehu/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|кипятить, вскипятить|kiehuttaa, kiehauttaa|häin kiehutab (KTK)|он вскипятит|hän kiehauttaa||||||
|a.|kiehutettu|kiehutetu/d, -n, -d; -in, -id|кипячёный|kiehutettu, keitetty|kiehutetud vez’i (IL)|кипячёная вода, кипяток|keitetty vesi||||||
|adv.|sügüzel||||sügüzül alaštetaze (OF)|осенью обрубают нижние ветки|syksyllä leikataan alaoksat||||||
leikata|v.|alaštada|alaš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe (OF)|обрубать нижние ветки|leikata alaoksia|sügüzül alaštetaze (OF)|осенью обрубают нижние ветки|syksyllä leikataan alaoksat||||||
|v.|kielastada|kielas/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|врать, соврать, лгать, солгать, переврать|valehdella|||||||||
|s.|kielastaj|kielastaj, -ad, -an|лжец, врун, враль|valehtelija|||||||||
|v. frekv.|kielastelta|kielaste/l’da, -l’ob, -l’ ~ -l’ii|перевирать|valehdella|||||||||
|s.|kielastuz|kielastu/z, -sen, -st; -s’iin, -s’iid|ложь, враньё, неправда|valhe|||||||||
|a.|kielaz|kiel/az, -han, -ast; -hiin, -hiid|лживый; ложный|valheellinen; vale-|||||||||
|s.|kieldatuz|kiel’datu/z, -sen, -st; -s’iin, -s’iid|запрет, воспрещение|kielto|||||||||
|s.|kielduz|kiel’du/z, -sen, -st; -s’iin, -s’iid|запрет|kielto|||||||||
|v. frekv.|kieletelta|kiel’ite/l’da ~ kiel’ete/l’da (IL), -l’ob, -l’ ~ -l’ii|наговаривать, ябедничать|puhua joutavia; kannella, kielitellä|||||||||
hilleta I|v.|kielta|kiel’/ta, -dan, -z'iin; -dab, -z’ ~ -z’ii; -taze, -t’ihe|запрещать, запретить, воспрещать, воспретить; унимать, унять|kieltää; hillitä|hüö kiel't'ihe|они запретили|he kielsivät||||||
kieras|adv.|kieral|kierdal|зараз, разом, залпом; сразу, вдруг; наотрез|kerralla, kerrallaan|d’uoda kierdal|выпить залпом|juoda kerrallaan||||||
hedi, sriädö|adv.|kieras|kierdas|вдруг, внезапно; зараз|yhtäkkiä; kerralla|||||||||
|s. dem.|kierdaine|kierda/an’e, -ažen, -št; -ažiin, -ažiid|разок|kerta (pieni)|||||||||
|a.|kierdalline|kierdal’i/in’e, -ižen, -št; -ižiin, -ižiid|разовый|kerta-|||||||||
kihlad|s.|kihl|kihl, -an, -ad; -uun, -uud|заклад, пари|veto|išta kihl|биться об заклад, держать пари|lyödä vetoa||||||
kihl|s. mon.|kihlad|kihl/ad, -uun, -uud|пари|veto|||||||||
|s. yhd.|kiimaig|kiim/aig|брачный период|kiima-aika|||||||||
|adv.|kiirehes|kiirhes (KTK)|второпях|kiireessä|||||||||
|adv.|kiirehel|kiirhel|наспех, торопливо, второпях|kiireellä|||||||||
|s.|kiitand|kiitand, -an, -ad|хвала, благодарность, благодарение|kiittäminen|||||||||
|s.|kilo|kil/o, -on, -od; -uun, -uud|кило, килограмм|kilo|puol' kilod (KTK)|полкило|puoli kiloa||||||
|a.|kinded|kinded, kintän, kintäd|тугой|kireä|||||||||
|adv.|kindedaks|kintäks (IL)|плотно|kireästi|||||||||
|adv.|kindedas|kintäs (IL)|туго|kireästi|||||||||
|s.|kino|kin/o, -on, -od; -uun, -uud|кино|elokuva|||||||||
|s.|kinžal|kinžal, -an, -ad|кинжал|tikari|||||||||
|s.|kiosk|kiosk, -an, -ad|киоск|kiosk|||||||||
